framework,category,row_count,mode,instrumentation_enabled,warmup_runs,measured_runs,mean_ms,median_ms,minimum_ms,maximum_ms,standard_deviation_ms,p90_ms,preparation_ms,alignment_ms,decision_ms,controller_ms,policy_ms,session_ms,setup_ms,position_ms,diagnostics_ms,normalization_ms,serialization_ms,manifest_ms,memory_bytes,repeated_indicator_calculations
macd_momentum,momentum,1000,stateful,False,1,5,331.06560001615435,328.5330000799149,324.0521000698209,341.0526999505237,5.8969270385413,338.18377999123186,1.198520022444427,6.064460007473826,194.82816024683416,0.0,0.0,0.0,0.0,0.0,19.335779594257477,23.78792057279497,18.956060567870736,0.1930799800902605,2803031,0
momentum_acceleration_breakout,breakout,1000,stateful,False,1,5,356.88489999156445,359.8080000374466,341.2897000089288,370.7860999274999,11.485887963148262,369.116219971329,1.1981600197032094,5.966360005550087,214.83315997757015,0.0,0.0,0.0,0.0,0.0,19.522019498981532,24.28483995608985,19.22639994882047,0.2772799925878644,2944623,0
nr4_nr7_volatility_breakout,price_action,1000,stateful,False,1,5,347.19491999130696,345.6292999908328,329.5686000492424,366.54910002835095,12.55765441767227,361.61381998099387,1.0527200065553188,5.841840011999011,207.95711984392256,0.0,0.0,0.0,0.0,0.0,18.770319293253124,23.715600394643843,19.65294037945569,0.2869599498808384,2938089,0
opening_range_breakout,breakout,1000,stateful,False,1,5,339.0205399831757,338.082299917005,314.70809993334115,365.5291000613943,18.64499766439349,360.6253000209108,2.964820037595928,5.745859979651868,191.93560022395104,0.0,0.0,0.0,0.0,0.0,19.768080092035238,23.74880008865148,19.57190006505698,0.2341999905183911,2849134,0
parabolic_sar_trend,trend_following,1000,stateful,False,1,5,328.61929999198765,325.6592999678105,300.6197999930009,369.1918000113219,22.54460029690628,353.1611199956387,1.2559200171381235,7.935919985175132,185.51115985028449,0.0,0.0,0.0,0.0,0.0,19.134019990451637,23.343840311281383,18.87300028465688,0.1880799885839224,2809031,0
pin_bar_rejection,price_action,1000,stateful,False,1,5,419.869099999778,413.6580000631511,410.2460999274626,448.5301000531763,14.41607130275066,435.0812199991197,1.1852200143039229,6.079259980469942,266.5554395643994,0.0,0.0,0.0,0.0,0.0,20.393060497008264,28.43841922003776,24.14863924495876,0.2772799693048,3137585,0
pivot_range_breakout,breakout,1000,stateful,False,1,5,365.87175999302417,372.14759993366897,339.3423999659717,379.3537999736145,15.11910039694467,379.2654799995944,1.13131997641176,6.331060011871159,222.06974015571177,0.0,0.0,0.0,0.0,0.0,20.377820869907737,24.447699217125773,20.032219192944467,0.2714999951422214,2924643,0
price_channel_trend,trend_following,1000,stateful,False,1,5,352.7092000003904,352.84409997984767,339.41180002875626,368.7520000385121,9.84879815559214,363.6903600068763,1.210759999230504,6.092539988458157,213.4611016605049,0.0,0.0,0.0,0.0,0.0,20.12539929710329,24.183279392309487,19.71565939020365,0.1834799768403172,2809037,0
rsi_pullback_trend,momentum,1000,stateful,False,1,5,320.43936003465205,312.84040003083646,300.39990006480366,341.3428000640124,16.7262741479966,340.52444007247686,1.185760018415749,6.09744000248611,183.3387215156108,0.0,0.0,0.0,0.0,0.0,19.14751965086907,23.254800005815923,18.989559984765947,0.2483799587935209,2920746,0
stochastic_pullback_trend,momentum,1000,stateful,False,1,5,489.32258000131696,496.2194999679923,468.70480000507087,510.22549998015165,16.758702455673987,506.5525399986655,1.1618200223892927,5.983639997430146,336.38131946790963,0.0,0.0,0.0,0.0,0.0,24.72151897381991,27.037638472393155,22.8734984761104,0.2298200037330389,2934209,0
supertrend_trend_following,trend_following,1000,stateful,False,1,5,355.3020199993625,361.8639999767765,334.61000001989305,365.8755000215024,11.349340526244076,364.4492200110108,1.1352799832820892,6.1484800186008215,211.4386992296204,0.0,0.0,0.0,0.0,0.0,19.825441762804985,24.35717978514731,20.16369979828596,0.238140020519495,2897820,0
support_resistance_bounce,price_action,1000,stateful,False,1,5,369.1897200187668,361.2297000363469,352.6090000523254,391.56509994063526,15.53075560836071,388.44977996777743,1.3149000238627195,6.23301996383816,223.3935201074928,0.0,0.0,0.0,0.0,0.0,20.23591964971274,24.66177938040346,20.292859361507,0.2889599883928895,2979751,0
